name,address,rating,total_reviews,phone,top_reviews,has_vacancies,under_36_months,months_30_to_5_years,grade_1_to_age_12,licensed_preschool
Kidscool ELC Coquitlam,"1116 Como Lake Ave, Coquitlam, BC V3J 3N8, Canada",4.8,33,(604) 767-9726,"Both my kids attended Kidscool, my oldest graduated there and had the best time. The teachers we had were all wonderful and I’m really grateful for how much care and love they have for my children. Based on just the teachers, it’s an easy 5 ⭐️s.  If you, however, have a child whose birthday is not close to September, be warned that they can “age out” of their class and you find yourself suddenly informed unceremoniously with not even a full months notice that you have no daycare for x months, in our case it was 3 months. We were offered a spot in their New West location, our kids attended the Coquitlam. That would have made our commute impossible with two working parents. It never happened to my oldest whose birthday is also two weeks from my youngest so it was a shock to us. We ended switching daycare permanently not wanting to put a little kid through multiple changes. It was an unfortunate end to our years of relationship with Kidscool. Management should really plan better and yes, they can apply for an extension for your child with the ministry if they want or care enough to make it work. It left a very sour taste, giving it a 4 ⭐️ purely because of how amazing the teachers are. If you have a kid with a summer birthday and cannot have no care, I would proceed with caution. | I’m so grateful for the exceptional care my daughter receives at Kidscool. The staff is warm, professional, and dedicated, creating a safe and nurturing environment. The facility is clean, bright, and filled with age-appropriate activities that keep my child engaged and excited to learn.  I particularly appreciate the open communication, with daily updates and regular newsletters that keep me well-informed. Since starting at Kidscool, I’ve seen my daughter grow in confidence, social skills, and enthusiasm for learning.  If you’re looking for a daycare that truly cares about your child’s development, I highly recommend Kidscool. It’s been a wonderful experience, and I’m so thankful for the peace of mind it provides. | I'm so grateful for the wonderful care my daughter receives at this daycare. The teachers are incredibly kind, supportive, and genuinely care about the well-being of each child. My daughter absolutely loves spending her days there, and it brings me so much peace of mind knowing she's in such a nurturing environment. I especially appreciate the daily reports that keep me informed about my daughter's day. These updates not only help me stay connected to her activities but also significantly reduce my stress, knowing exactly how she's doing each day. I also want to extend a special thanks to the manager, Rihanna, for her kindness, support, and polite demeanor. She has created a warm and welcoming atmosphere that truly makes a difference. Thank you to everyone at the daycare for your dedication and care. I highly recommend this place to any parent looking for a safe and loving environment for their child. We will miss you! | My experience with Kidscool Early Learning Center has been extremely positive. The teachers are super kind, caring, and lovely. Communications with the owner as well as teachers have been excellent. Highly recommend! | My son has been at Kidscool since 2022 and it’s been a really wonderful experience and we would certainly recommend attending here.  He has grown and learnt so much in his time here. All of the teachers have always been so caring and the facilities are clean and professional, with lots of great activities and learning opportunities for the children. He has made some lovely friends and really enjoys his time there.  They also use the Lillio app, which updates us and sends several photos every day, which gives us extra peace of mind.",False,True,True,False,False
Little Papillon Childcare,"1436 Cambridge Dr, Coquitlam, BC V3J 2P7, Canada",5.0,1,(604) 849-5241,"Little Papilon Child Care has been an amazing experience for our family. The staff is professional, warm, and attentive to each child’s needs. The activities are engaging and age-appropriate, and the environment feels safe and nurturing. I truly appreciate the care and dedication they show every day",True,True,True,False,True
Rainforest Learning Centre Coquitlam,"511 Rochester Ave, Coquitlam, BC V3K 0A2, Canada",4.1,37,(604) 837-0800,"I recently had the pleasure of spending time at  rainforest daycare and I must say it was an incredibly positive experience. The environment is warm, welcoming, and perfectly suited for children to learn, play, and grow. From the moment I walked in, I could see the attention to detail in every aspect of the daycare. The facilities are clean, well-organized, and filled with engaging, age-appropriate activities. The staff is not only professional but also genuinely caring and attentive to the needs of each child. I cannot speak highly enough of the director Ms.Laleh and  leadership and dedication are truly inspiring. She  has created a nurturing environment where both children and staff feel valued and supported.Ms.Laleh and her team approach to childcare is both thoughtful and innovative, ensuring that every child receives the best possible care and education. Overall, Rainforest in Coquitlam area has exceeded my expectations in every way. I highly recommend this daycare to any parent looking for a safe, nurturing, and stimulating environment for their child. | We appreciate Rainforest so much! Everyone that has been a part of her day to day over the past few years have had such a positive impact on her growth and happiness and it’s been incredible to watch her learn and thrive in such a wonderful environment. We are also so grateful for Rainforest’s pivotal role in getting her ready for this next chapter, Kindergarten! Thank you Rainforest Coquitlam ! | Rainforest Learning Centre (Coquitlam) was our first choice for daycare for our 1-year-old due to its location, cleanliness and curriculum. Our child adores the staff there and they have treated her with nothing but kindness. They are responsive to any concerns we have and the communication has been excellent, both in-person and using the parent-daycare app on the phone. Thank you so much and keep up the great work. | My daughter has been attending Rainforest Learning Centre in Coquitlam for over 2.5 years, starting in the IT side and now in the Pre- K class. We have nothing but good things to say about this facility and the Pre-K class. The teachers are all so caring, consistent  and enthusiastic. The center is clean/tidy and the schedule is always a good mix of learning and play. My daughter loves going to daycare to see her friends and favorite teachers- thank you Rainforest Learning Center Coquitlam! | Our oldest daughter has attended Rainforest since she was 15 months old. She loves attending school and loves her classmates and especially her teachers. She is now in the Pre-K room and is learning new things everyday - she especially loves all the crafts and now wants to be an artist when she grows up. My youngest started this past September and loves her new little friends in the Infant/Toddler room. Both my daughters language skills grew quickly after being in daycare.  I love that the daycare is small and doesn't have dozens of children in it. The teachers are patient and kind. Both my daughters have built meaningful relationships with both teacher and their classmates.",True,False,True,False,True
Mountain View Group Day Care,"740 Smith Ave, Coquitlam, BC V3J 4E7, Canada",4.3,17,(604) 937-3020,"This is the worst daycare ever! The teachers don't listen to the kids. They pretend that they can't hear you so they don't have to deal with you. The kids there always are fighting! When a kid is crying, they don't realize until you yell at them at least three times. The teachers are just talking to each other, or they'll be on their phones. They don't interact with the kids. They don't give snacks. If a kid forgets to take home their unfinished food, they'll feed it to the rest of the kids. If you sign your kid up for this daycare for at least six months, your kid will likely get a habit of swearing, start to act more violent and aggressive or get extremely attached to video games. One time, when I was in the daycare, I found a piece of broken glass in one of the toy bins. I told the teacher, the teacher told me to pick it up and bring it to her! Don't they know it's dangerous to touch broken glass!? To make it clear, I am talking about the 5-12 group. Please parents, do not sign your kid up for this torture! I have gone to this daycare, as a kid, I hated it. | I don't know why this daycare  is still open. ! This is the worst daycare I have ever experienced. The teachers here do not care about the children, they only turn on THE TV for the children, and will say unkind words to the children. If your children are smart, you are lucky, and if your children are naughty, you are unlucky. The manager here may be the owner of this place, which is a very hypocritical person. | I also would like to add my notes in regards to the previous posts. This is a well run daycare, with staff that consistently go above and beyond for the parents and children. My son and niece have been there for 5 years and we have never had a problem with the staff and I have no hesitation recommending them. | Well on a totally different subject from the reviews before me..History... I went to this school from 1960 - 1967/8. I started in the 4 room school as did my older brother who had started there 10 yrs before me. My favorite teacher lived kitty corner to the school, Mrs Kydd, I kept in touch with her till her passing celebrating my milestones with her when ever I could. It did not matter what town I lived in or where she had travelled on freighters with her son being the captain, her teachings kept going. I remember Mrs. Dalton our principal, every few months her hair would change from a light pastel pink to a light pastel blue, silver and a real pale tint of pastel purple ....... she had always greeted her students with a smile. The basement was the indoor play area, boys on one side, girls on the other. To use the washrooms we had to leave the classroom by the outside stairs, through rain, sun, sleet, snow..... lol to the basement where the toilets were. I got to see the new addition built and attend classes in it. We had an awesome track n field team plus our sports days were the best with the 1 minute egg walk. Many of us youth even played touch football and softball in the field there. So there is some good memories, positive thoughts of one of the older landmarks of Coquitlam. | I like this daycare.Parents, be aware- they don't have educational programs( school style- lots of songs, letters  themed activities) the kids just play and ..play.If you think that a child should play at this age then is a good option. if you consider that the child needs more strict education  then choose something like  a Montessori . Recommended.",False,False,False,True,False
Educastle Childcare Coquitlam,"3020 Lincoln Ave #270, Coquitlam, BC V3B 6B4, Canada",4.9,31,(604) 942-2273,"My son has been attending Educastle since he was 2 years old, and we couldn’t be happier with the experience. The teachers are caring, patient, and genuinely invested in the children’s growth and development. We’ve seen amazing progress in his social skills, learning, and confidence. The daycare provides a safe, nurturing environment with fun activities that keep the kids engaged and excited to come every day. As a parent, it gives me peace of mind knowing he is so well looked after. Highly recommend Educastle to any family looking for a wonderful daycare! | I am so happy that my son has joined Educatle Childcare. The staff are very kind and friendly. They are very professional and well trained educators. Each day, my son learns something new and excitedly shares it with us. I cannot say enough nice things about this daycare and would highly recommend it! | We have had such a wonderful experience with Educastle over the past two years. My little one truly enjoyed her time there and was always excited to go. All the teachers have provided such loving and attentive care, they have made a lasting impact on her early years. We are so grateful for the nurturing environment and all the support everyone has given our little one. Thank you for everything! | If you are looking for a truly professionally after school care, this is the place! My kid loved it and I really enjoyed their professionalism, amazing time management and swift communication with parents. This is the example of a really organized and caring place. All the staff were very helpful and nice, snacks are great and children love it there. Definitely recommend! | I currently have two children attending this daycare. It’s been almost four years since I first enrolled my eldest here. It was already a good place, but ever since the new manager took over, the atmosphere has improved even more. There are now more events involving both parents and children, which I really appreciate.  The outdoor playground is also a big plus — the kids can play outside safely without having to leave the building area, which gives me peace of mind. They also frequently go on library visits and engage in various learning activities, including alphabet practice and other educational play. It’s clear that this center puts a lot of thought into its curriculum, and I’m very satisfied overall.",False,False,True,False,False
Kiddies Korner Preschool,"948 Como Lake Ave, Coquitlam, BC V3J 7P9, Canada",4.9,44,(604) 941-4919,"This pre-school is incredible! My daughter attended Kiddies Korner preschool last year while they were still in Port Coquitlam.  We recently moved to Maple Ridge and even though they moved locations to Coquitlam we knew we wanted her to still attend this year.   Although that means a 30-45 minute drive we could not imagine her going anywhere else.  Ms. Carmen and Ms. Shelley are incredibly caring teachers and have the best relationships with their students. It truly is so special to see the bond they form with the students.  This is the most wonderful community to be apart of and I am so happy we found Kiddies Korner Preschool. | We’re so so grateful we found KKP.  We love the teachers and our little guy feels so safe there.  We love their philosophy and allowing our little guy to blossom and be himself.  The teachers are so caring, communicate so closely with us parents, and are such wonderful people.  We were blown away at our teacher meet and greet.  Ms. Carmen and Ms. Shelley are such caring and wonderful humans, they’re so warm and loving, and we are just so lucky to have them help our son thrive.  We’ve toured many other early education centres in the area, and Ms. Shelley and Ms. Carmen instantly made us feel so safe and secure—bonus is the awesome classroom environment and their own outdoor playspace!  No need for our little guy to navigate busy roads to get his outdoor time. | Both of my children have attended KKP, and it has truly become a community we cherish deeply. KKP has such a longstanding legacy in the Tri-Cities, and it’s easy to see why — it’s a place where families come together and truly feel like part of something special. From the very beginning, we were looking for more than just childcare. We wanted a preschool where our kids would feel loved, supported, and encouraged to grow through play, curiosity, and connection. KKP has been all of that and so much more.  Carmen, Shelley, and the entire KKP team have created a nurturing, inclusive, and joy-filled environment. Their passion, patience, and genuine care shine through in everything they do. They’ve not only shaped our children’s early experiences but have touched our whole family in meaningful, lasting ways.  As a parent of sensitive and shy little ones, I was initially anxious about sending them to preschool. But from the moment we met Carmen and Shelley, I knew they were in the best hands. They have such a gift for seeing each child for who they are and helping them flourish at their own pace. Their guidance and calm wisdom have even influenced me as a parent — I often find myself inspired by their thoughtful, compassionate approach.  KKP isn’t just a preschool; it’s a loving, supportive community that feels like family. The families here lift each other up through the highs and lows of life, and that sense of belonging is something truly special. We are endlessly grateful for all that KKP — and especially Carmen and Shelley — have created. | I truthfully don’t even know where to start- we are so incredibly lucky to have found this preschool and our gratitude to the teachers here extend beyond the basics of keeping our child happy and safe. Ms. Shelley and Ms. Carmen go above and beyond to build trust with each kiddo that walks through their doors and the level of care they have for them surpasses what I could have ever imagined a preschool could provide.  Our little miss started here shortly after she turned 3 and the amount of growth we’ve seen in her since starting preschool at KKP is incredible. I credit Ms. Carmen & Ms. Shelley’s approach with a large part of the confident, assertive little toddler we have now and can’t imagine better role models for our sweet girl than the teachers she has here.  Highly highly recommend Kiddies Korner to any parent who’s even thinking about preschool for their little! | My daughter just started at Kiddies Korner this year and we already love it. Shelley and Carmen are incredible educators who truly value each child’s individuality and emotional development. The way they connect with the kids is amazing. It’s such a caring, respectful and joyful environment—highly recommended!.",False,False,True,True,True
Kidsville Childcare Coquitlam,"1518 Smith Ave, Coquitlam, BC V3J 2Y3, Canada",5.0,8,(604) 655-7718,"Luigi is great at supporting my child. I couldn't ask for a better childcare provider! Luigi not only looks after my child and meets her needs, my child has developed so much emotionally and cognitively since attending Kidsville. Luigi is very patient with my child. She has the patience and empathy to work with kids. Most importantly, my child told me she loves going to Kidsville. I could tell Luigi is passionate about working with kids! | My son absolutely LOVES attending Kidsville Childcare! Luigi provides the absolute top notch loving care. She always manages to provide quality one-on-one learning to meet each child's specific needs, and our son is learning sooo much. He is currently 21 months, and since starting at Kidsville he has learned some great skills (cleaning up toys/books, listening at story time, using his utensils, sharing toys, and many new words). Luigi provides healthy snacks and I am never worried whether he has eaten enough nutritious food, he also always naps well. Kidsville is set-up beautifully and very thoughtfully. It is the entire upstairs, which I prefer to a lot of home daycares with basement set-ups. Her backyard is very large, and she has a really nice back shaded deck for colder rainy days, set-up with educational and fun toys. If you're looking for a new childcare setting, do not hesitate to meet Luigi! If it is your child's first time starting at daycare, Luigi does an amazing job transitioning. She also does a great job updating me throughout the day with how he is doing and super cute photos. | My daughter attends Kidsville Childcare and aboslutely LOVES it here.  Luigi is absolutely amazing and my daughter loves her so much.  She went from having high separation anxiety and crying every morning, to being so incredibly happy and excited to attend daycare and always coming home with the biggest smiles.  The improvement, growth, and happiness I have seen in my daughter these last couple months have just been so heartwarming.  I definitely trust Luigi with my daughter and love all the effort and commitment she puts into her daycare.  I couldn't ask for a better daycare and both my husband and I are so thrilled we had the opportunity to have Luigi as our daughter's care provider | We absolutely recommend Kidsville to families looking for a loving and nurturing environment. Luigi has created a beautiful space for the children on the first floor, which I highly appreciated compared to most home daycares in the basements. Luigi and Luvi are both so kind and warm yet also firm with the children when needed. Our son is always so eager to go to daycare and loves spending time with the teacher(s) and friends. I could go on and on about how much I recommend this daycare. Each day, we come home knowing that our son had a great day. Luigi and Luvi always provide honest feedback to support the best interest of our child. We are blessed to have found a gem! | The owner of Kidsville Childcare, Luigi, was the ECE at our childrens last daycare.  She left with the pursuit of opening her own childcare centre and   we are very pleased to see she has accomplished her dream.  Luigi took care of up to 8 kids at a time and made sure they were all happy and well taken care of.  She kept them on a well balanced, event filled, schedule. They would keep busy during the day doing crafts, sensory projects, learning, reading, outside time, yoga, dancing etc.  Our kids were well taken care of while with Luigi and we never had to worry about our kids while they were away from home. You can trust that your kids are in good hands while they are with Luigi.    I would recommend here as an ECE to anyone looking for childcare.",True,True,True,True,True
First Steps Daycare,"675 Blue Mountain St, Coquitlam, BC V3J 4R5, Canada",4.6,10,(604) 726-6842,"My daughter loved the daycare! The educators are caring, supportive, and very communicative. They regularly send photos of the kids' activities, and it's clear that the children are having so much fun. There's a large backyard with a garden where the kids grow food, play, and enjoy celebrations. We’re very grateful for the warm and nurturing environment in the First Steps Daycare. | First steps is an excellent daycare, I highly recommend it. My son has attended it for two years and he'll definitely have lots of warm childhood memories from there. He has always looked forward to coming to his daycare and never hurried up home when I came to pick him up  It's a safe and cosy place with amazing atmosphere. Kids play in a lovely garden and do lots of different educational activities during the day. I'm very grateful to Ms May and Ms Hannah, they are the best teachers you can imagine, very professional, attentive and supportive. They understand personal needs of every child and as a parent I never worried about anything.  Last but not least, Ms May and Ms Hannah organize great parties for the kids for Christmas and other holidays with gifts and surprises, which brings so much joy and happiness to the kids. Thank you very much Ms May and Ms Hannah for happy childhood of our kids!",False,True,True,True,True
Baby Smart Infant and Toddler Child Care Centre,"1530 Como Lake Ave, Coquitlam, BC V3J 3P6, Canada",5.0,13,(604) 306-6698,"This past year, I often picked up my granddaughter from Baby Smart. Whenever I arrived early, I saw children actively engaged in fun learning activities.  My granddaughter would proudly show me what she was doing. Sometimes I had to coax her to come back home because she was having so much fun.  Sunny and her team work seamlessly to provide the best social and individualized program to foster each child's social sense and learning through fun. As a former teacher of young children, I highly recommend Baby Smart! A child attending Baby Smart is lucky, indeed! | Sunny and all the other teachers there are amazing. They are very caring and understanding.  I love that they have a big outdoor space in the front and back for them to play outside.  The activities that they do with the kids are so fun.  A big plus is that we get daily updates of photos and videos of what they are doing (ex. playing outside, artwork, circle time, etc). My son loves going to school there everyday. I would highly recommend this place to my friends and family if they are looking. | My son started at this daycare when they were just 11 months old. As a first-time mom returning to work, I was filled with anxiety and guilt about leaving my child for the first time. But I was incredibly lucky to have teachers like Sunny and Anna—they are so loving, patient, and responsible. Their care and communication gave me great peace of mind every day. I'm truly grateful for their support and the wonderful environment they provide. Highly recommend this daycare! | My wife and I had our first child and it was very stressful for us to find a good daycare/school. Sunny, Ms. Bing and Ms. Anna were recommended to us, we were still so nervous.  We were so lucky Sunny had an opening for our daughter. The first week was hard, she was scared leaving mommy and daddy. The attention and care and love they've shown our daughter has really helped her blossom.  Within a week she (our daughter) was so excited, her language and social skills grew so quickly. She would come home singing the alphabet. She was asking us for potty. Transitioning as she aged from the smallest to a leader for the younger kids, helping them put on shoes and sheltering them with love and nurture as she clearly learnt through daycare.  Every day its a joy to get the updates from Sunny and her team, seeing what they're learning next. From Shadows, to Rain, to horticulture.  Every day I pick up our daughter she excited runs around showing me, and showing off, with such excitement everything she's learnt and experienced.  I cant imagine a better environment to grow with both learning and socially. I attribute a lot of the confidence, empathy and critical thinking to the time she has spent at Baby Smart.  Its with a melancholy our daughter is reaching the age to move on, she will miss all her friends and especially Sunny and her staff (Ms Bing and Ms Anna) but we hope to bring her back to visit.  We are so happy and thankful that we were able to enroll our daughter with baby smart, even though its a bit of a drive for us, when closer options opened up we wouldn't even consider an alternate place to trust with the most special treasure of our heart.  Thank you so much Sunny and everyone, the love, comfort, guidance and stimulation you provide to our precious little joy. Words cannot thank you enough.  I strongly recommend Baby Smart. This isn't just a daycare, its a launch pad to prepare our daughter and all others we've met (as well as a great place to meet similar parents for playdates) and an overall amazing support and experience.  Frustrating as it is sometimes to have to coax my daughter away at the end of the work day. She loves it here, along with her learning and growth, speaks for itself. | I’m beyond grateful to Baby Smart for the incredible care and support they provided to my daughter! From the very beginning, Sunny and the amazing team of teachers made us feel welcomed and reassured. They were always professional, kind, and genuinely caring, constantly keeping me informed about my daughter’s day through regular updates and adorable photos—something I truly appreciated as a parent.  My daughter absolutely loved going to daycare every day. Her excitement and happiness gave me so much peace of mind, knowing she was in such loving and capable hands. Baby Smart supported her through every important milestone, including potty training, and celebrated every little success along the way.  What truly amazed me was how much she learned while having fun—numbers, the alphabet, art, music, and more—all through playful activities, dancing, and creativity. They even celebrated special events and birthdays with such warmth and attention, creating beautiful memories we’ll cherish forever.  Thank you, Baby Smart, for being such a nurturing, joyful, and educational space for my daughter. You made a lasting impact on her development—and on our hearts!",False,False,False,False,False
Nik Kids Academy,"622 Schoolhouse St, Coquitlam, BC V3J 5P7, Canada",4.9,57,(778) 885-3264,"We couldn’t have been happier with the experience. If we had known about Nik Kids Academy earlier, we would have enrolled our son much sooner. We can truly compare, as our first experience with another daycare was not good or professional at all. Moni, on the other hand, is incredibly caring, kind, and professional, we always felt that our little one was in the best hands. We’re so grateful for the love and support he received every single day. I highly recommend this daycare 100%! | We are incredibly grateful for the wonderful care provided by this daycare. From the daily updates to the personal messages, it’s refreshing to know our daughter is in such good hands. Thank you! | My 21 month old son has been enrolled for 6 months now.  We’ve been very happy with Moni and the way she runs her daycare.  There’s always new activities for the kids and the daily updates with photos help keep my husband and I connected during the day.  My son always seems calm & happy to be dropped off; never upset when I pick up him :) Not to mention my son is always clean!  Washed hands, combed hair, clean clothes, dry diaper, etc.  I’ve noticed many small details that I so appreciate - thx again Moni 🩷 | Nik Kids Academy is one of the safest daycares in Coquitlam. The environment is friendly, clean, and well-maintained. Monireh is incredibly responsible , kind and cares for each child with great attention. I’m so happy to have found this daycare near Austin and Schoolhouse Street. The kids feel comfortable here, and the food is excellent. I truly appreciate all their hard work and dedication. | My son attended this daycare from age two to three. If I had known earlier, I would have brought him from age one because his progress was amazing. We were very happy with Moni and truly satisfied. I highly recommend this daycare 100%.",False,False,False,True,True
