id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method
4547d579-e3e7-4c47-9e15-586988d90dc9,Kidscool ELC Coquitlam,(604) 767-9726,hello@kidscoolelccoquitlam.ca,Coquitlam,"1116 Como Lake Ave, Coquitlam, BC V3J 3N8, Canada",49.2632316,-122.8608388,False,15,1,0,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",Montessori,1591,,phone_only
262cf9f6-5ddb-41b4-938a-07920d54a3f7,Little Papillon Childcare,(604) 849-5241,hello@littlepapillonchildcare.ca,Coquitlam,"1436 Cambridge Dr, Coquitlam, BC V3J 2P7, Canada",49.2574264,-122.8527102,True,44,0,23,"['Under 36 Months', 'Preschool']",,1340,2026-04-07,phone_only
b7783b81-9e43-416b-b48f-a848fa2fbee1,Rainforest Learning Centre Coquitlam,(604) 837-0800,,Coquitlam,"511 Rochester Ave, Coquitlam, BC V3K 0A2, Canada",49.2459363,-122.8909856,True,44,0,20,"['School Age', '30 Months to 5 Years', 'Preschool']",Play-based,1404,2026-06-20,phone_only
5621f5dd-40f4-4731-8e99-a0f4826eaf5c,Mountain View Group Day Care,(604) 937-3020,,Coquitlam,"740 Smith Ave, Coquitlam, BC V3J 4E7, Canada",49.2591297,-122.8793336,True,46,0,7,"['School Age', '30 Months to 5 Years']",Reggio Emilia,1414,2026-07-11,both
99bf7db7-6abe-4355-abcd-d11451834d43,Educastle Childcare Coquitlam,(604) 942-2273,hello@educastlechildcarecoquitlam.ca,Coquitlam,"3020 Lincoln Ave #270, Coquitlam, BC V3B 6B4, Canada",49.2786078,-122.7926421,True,26,0,13,"['Under 36 Months', 'School Age', '30 Months to 5 Years']",Play-based,1365,2026-04-18,phone_only
411a1132-7516-4ac1-bebf-92ad9ce4165a,Kiddies Korner Preschool,(604) 941-4919,hello@kiddieskornerpreschool.ca,Coquitlam,"948 Como Lake Ave, Coquitlam, BC V3J 7P9, Canada",49.263258,-122.8692974,True,28,0,12,['School Age'],Academic,1664,2026-06-13,email_only
977e903b-c231-42cc-9336-deef7349b381,Kidsville Childcare Coquitlam,(604) 655-7718,hello@kidsvillechildcarecoquitlam.ca,Coquitlam,"1518 Smith Ave, Coquitlam, BC V3J 2Y3, Canada",49.259512,-122.8510387,False,25,0,16,['30 Months to 5 Years'],Play-based,1587,2026-04-27,email_only
38844355-57b2-4736-bdc4-532fc0d18b1d,First Steps Daycare,(604) 726-6842,,Coquitlam,"675 Blue Mountain St, Coquitlam, BC V3J 4R5, Canada",49.2579264,-122.868555,True,47,0,17,['30 Months to 5 Years'],Play-based,1226,2026-05-29,email_only
410ea892-f351-43e2-b603-3f9f71e90c21,Baby Smart Infant and Toddler Child Care Centre,(604) 306-6698,,Coquitlam,"1530 Como Lake Ave, Coquitlam, BC V3J 3P6, Canada",49.2632367,-122.8500137,False,41,0,12,"['Under 36 Months', '30 Months to 5 Years']",Reggio Emilia,1491,2026-08-12,email_only
1b91650b-c20a-4517-a424-0456806a304d,Nik Kids Academy,(778) 885-3264,,Coquitlam,"622 Schoolhouse St, Coquitlam, BC V3J 5P7, Canada",49.2554678,-122.8525463,False,38,0,12,"['30 Months to 5 Years', 'Preschool', 'School Age']",,1559,2026-04-07,email_only
70425f68-0597-45de-bac1-c62be96c7b17,Jiji Children's Learning Centre,(604) 936-6060,hello@jijichildren'slearningcentre.ca,Coquitlam,"1132 Sprice Ave, Coquitlam, BC V3J 2P4, Canada",49.2568438,-122.860165,True,21,0,10,"['30 Months to 5 Years', 'Under 36 Months', 'School Age']",Reggio Emilia,1446,2026-07-09,email_only
55f4dd12-6cee-4b74-bf24-afe88b96c880,Children's Choice In Home Multi Age Licensed Daycare,(778) 237-5312,hello@children'schoiceinhomemultiagelicenseddaycare.ca,Coquitlam,"578 Thompson Ave, Coquitlam, BC V3J 3Z8, Canada",49.2679672,-122.8894052,True,36,0,17,"['30 Months to 5 Years', 'Preschool', 'Under 36 Months']",Montessori,1706,2026-04-08,phone_only
3d847c9a-c29d-412c-8575-2c41cfae10ab,Little Sparrows Daycare,(604) 603-1146,hello@littlesparrowsdaycare.ca,Coquitlam,"1014 Quadling Ave, Coquitlam, BC V3K 2A6, Canada",49.2406563,-122.8663853,True,16,3,0,['School Age'],Reggio Emilia,1444,,phone_only
987ace88-f060-4eeb-a86e-77e02a25beff,Glowing Hearts Daycare,(604) 936-9890,hello@glowingheartsdaycare.ca,Coquitlam,"705 Delestre Ave, Coquitlam, BC V3K 2G1, Canada",49.2419412,-122.8806797,True,33,3,0,"['30 Months to 5 Years', 'Under 36 Months']",Montessori,1244,,both
cd1c06df-03ad-4374-9278-de0b346a5eca,All my kids Ltd childcare,(778) 835-6104,hello@allmykidsltdchildcare.ca,Coquitlam,"1710 Harbour Dr, Coquitlam, BC V3J 5W2, Canada",49.2661702,-122.8459884,True,21,0,15,['Preschool'],Montessori,1334,2026-04-17,both
f0200de1-26e5-47a1-a456-5fdefd039924,Lavender Forest Child Care center,(778) 875-1551,hello@lavenderforestchildcarecenter.ca,Coquitlam,"979 Crystal Ct, Coquitlam, BC V3C 5X5, Canada",49.26957789999999,-122.8009235,True,18,0,13,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",Play-based,1356,2026-08-12,email_only
dbc12a6e-ff5e-473a-b7d0-798744ac35cb,"1,2,3 ABC Infant Toddler",(604) 931-7206,hello@123abcinfanttoddler.ca,Coquitlam,"737 Poirier St, Coquitlam, BC V3J 6B8, Canada",49.2621702,-122.8461461,True,18,0,20,"['Preschool', 'School Age', '30 Months to 5 Years']",Reggio Emilia,1713,2026-06-02,phone_only
f2d6a50f-13cf-46a8-817b-3d154b7fa2d7,Bunny's Daycare (Coquitlam),(604) 377-1505,hello@bunny'sdaycare(coquitlam).ca,Coquitlam,"1060 Rochester Ave, Coquitlam, BC V3K 2W9, Canada",49.2451404,-122.8629728,True,22,0,24,"['Preschool', 'Under 36 Months', 'School Age']",Montessori,1569,2026-08-21,both
f5bfa2d7-84ba-476e-856d-2c98d5b20ab2,Happy Kids Castle Daycare,(672) 963-2024,hello@happykidscastledaycare.ca,Coquitlam,"605 Dansey Ave, Coquitlam, BC V3K 3E9, Canada",49.2474378,-122.8862354,False,36,0,10,['Preschool'],Reggio Emilia,1728,2026-07-10,email_only
c8f0be06-1a65-4a62-a146-aeabb9512646,Futurekids Daycare Centre,(604) 937-5212,hello@futurekidsdaycarecentre.ca,Coquitlam,"600 Fairview St, Coquitlam, BC V3J 4A7, Canada",49.2534891,-122.8839253,False,31,0,16,['30 Months to 5 Years'],Reggio Emilia,1583,2026-08-21,phone_only
e7a01d7e-f13e-4d25-afb7-30c07ac3f37b,Glen Childcare Centre,(604) 618-8303,hello@glenchildcarecentre.ca,Coquitlam,"2977 Glen Dr, Coquitlam, BC V3B 2P7, Canada",49.28289609999999,-122.7952726,True,25,0,19,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",Reggio Emilia,1404,2026-06-11,both
b70d07dd-2458-4ab1-8b93-93aedf0fedd9,Bright Beginnings Infant/Child Care,(604) 613-1022,,Coquitlam,"1393 Austin Ave, Coquitlam, BC V3K 3P6, Canada",49.2493321,-122.8549141,False,42,0,22,"['Under 36 Months', 'Preschool']",Reggio Emilia,1671,2026-06-15,email_only
bfe608b1-ae0b-4a0c-9afa-d4e18b10539a,Lil' Grownups Daycare,(778) 960-8652,hello@lil'grownupsdaycare.ca,Coquitlam,"947 Blue Mountain St, Coquitlam, BC V3J 4S9, Canada",49.26748389999999,-122.8682052,True,32,0,23,['School Age'],Academic,1790,2026-05-05,email_only
c22233be-8fc2-4cbb-b71d-7261bcac8cdf,Como Lake Kids Village Daycare,(778) 998-4747,hello@comolakekidsvillagedaycare.ca,Coquitlam,"825 St Laurence St, Coquitlam, BC V3J 6G7, Canada",49.26471,-122.841576,False,48,0,7,"['School Age', '30 Months to 5 Years', 'Preschool']",Play-based,1559,2026-06-14,phone_only
33a88448-7726-4d8b-8048-ba54dbebaa73,Play2Learn Child Care Centre,(604) 724-3319,hello@play2learnchildcarecentre.ca,Coquitlam,"2421 Mariana Pl, Coquitlam, BC V3K 6R3, Canada",49.2376642,-122.8234654,True,21,0,22,"['30 Months to 5 Years', 'Under 36 Months']",,1711,2026-04-22,both
f81f1505-1a7e-4295-b523-5d8d5dd527e6,Safe Garden multi-age licensed home daycare,(778) 858-9465,,Coquitlam,"606 Denton St, Coquitlam, BC V3J 3V8, Canada",49.2541187,-122.887583,True,17,3,0,"['30 Months to 5 Years', 'School Age', 'Preschool']",Reggio Emilia,1302,,both
4de0f496-b834-4e43-bcb5-0bad32754bb9,Green Apple Daycare,(604) 218-3417,,Coquitlam,"1504 Sprice Ave, Coquitlam, BC V3J 2P6, Canada",49.2569554,-122.8510584,True,36,2,0,"['30 Months to 5 Years', 'School Age']",,1157,,both
db1e24d2-f7ff-4ce9-9b8b-07b5468a6185,Sun Fun Childcare Centre,(604) 945-8901,hello@sunfunchildcarecentre.ca,Coquitlam,"2648 Sandstone Crescent, Coquitlam, BC V3E 2T8, Canada",49.2972608,-122.8183516,False,37,0,9,['Under 36 Months'],,1551,2026-05-05,phone_only
1e6797d8-616e-458d-981b-ab6f7b0647b5,Hellokids Childcare Centre,(778) 355-6060,,Coquitlam,"1020 Ridgeway Ave, Coquitlam, BC V3J 1S5, Canada",49.2494654,-122.8661569,True,29,0,11,"['School Age', 'Preschool', '30 Months to 5 Years']",Play-based,1313,2026-05-27,phone_only
72b62416-2ee4-42b0-bc80-a8cdc7b868a9,Little Butterflies daycare,(604) 474-0505,,Coquitlam,"2773 Barnet Hwy, Coquitlam, BC V3B 7A1, Canada",49.2785387,-122.8067154,True,24,0,10,"['30 Months to 5 Years', 'School Age', 'Preschool']",Reggio Emilia,1455,2026-05-10,email_only
