id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method
47d185c6-5ec0-469e-8115-c87e6f682e1c,Galaxy Daycare Centre,(604) 218-4961,,Burnaby,"8187 Woodlake Ct, Burnaby, BC V5A 3P3, Canada",49.25007799999999,-122.9266497,True,31,3,0,"['Under 36 Months', 'School Age']",Play-based,1173,,phone_only
fb5e680b-62f5-4d0e-9cdb-afddc50c1cd3,Adventure House Early Learning Childcare,(236) 453-0873,hello@adventurehouseearlylearningchildcare.ca,Burnaby,"8187 12th Ave, Burnaby, BC V3N 2L3, Canada",49.2249379,-122.9218406,False,47,2,0,"['Preschool', '30 Months to 5 Years', 'Under 36 Months']",Montessori,1634,,phone_only
9fdb9905-ceaf-4057-803c-83247b7b58f3,Little Wonderland Childcare,(778) 885-9386,hello@littlewonderlandchildcare.ca,Burnaby,"7767 12th Ave, Burnaby, BC V3N 2K6, Canada",49.2191412,-122.9326008,True,46,3,0,['30 Months to 5 Years'],Play-based,1551,,both
cfe7c88e-9fad-4d8d-8d56-829313a43e01,Little Dino Childcare Centre,(236) 428-8878,,Burnaby,"7929 19th Ave, Burnaby, BC V3N 1E9, Canada",49.2261329,-122.935286,True,25,0,19,['Under 36 Months'],Academic,1340,2026-05-10,phone_only
b2672eb1-b06b-46b5-9134-e6ed849c87d5,Beyond Care Child Centre,(604) 521-8748,hello@beyondcarechildcentre.ca,Burnaby,"8350 11th Ave, Burnaby, BC V3N 2P4, Canada",49.2257134,-122.9168437,True,48,0,24,"['Preschool', 'School Age']",Montessori,1320,2026-06-15,email_only
81126c37-7d31-4590-85e1-b88c6f906418,Honey Bees Studio Day Care,(604) 527-6760,hello@honeybeesstudiodaycare.ca,Burnaby,"7854 6th St, Burnaby, BC V3N 3N4, Canada",49.21971019999999,-122.9280104,False,45,0,9,"['Under 36 Months', '30 Months to 5 Years', 'Preschool']",Play-based,1350,2026-08-12,phone_only
e6a8f9f4-bc03-4f32-ae16-a800789cba77,Happy Treehouse Family Daycare,(604) 833-2412,hello@happytreehousefamilydaycare.ca,Burnaby,"8017 19th Ave, Burnaby, BC V3N 1G2, Canada",49.2278902,-122.9329666,False,12,0,8,"['School Age', 'Preschool', 'Under 36 Months']",Play-based,1659,2026-06-21,both
05cfdc2b-45d1-45b5-a17c-06c6a9a693d6,Mom's Pride Childcare Centre,(604) 374-3688,hello@mom'spridechildcarecentre.ca,Burnaby,"7328 Dunvegan Ct, Burnaby, BC V5A 3R5, Canada",49.2710955,-122.9503657,False,21,0,19,"['30 Months to 5 Years', 'Under 36 Months']",Montessori,1717,2026-05-07,phone_only
9f0156a4-b8ae-4442-91b5-5f324cc31b62,Burnaby Daycare - Aubrey Daycare Centre,(604) 677-0012,hello@burnabydaycare-aubreydaycarecentre.ca,Burnaby,"6409 Aubrey St, Burnaby, BC V5B 2C9, Canada",49.2736205,-122.9715924,True,16,0,23,"['30 Months to 5 Years', 'Under 36 Months', 'School Age']",Academic,1423,2026-04-08,phone_only
659e62aa-592f-4622-acb7-3a0f3c638a00,LAEL Academy,(236) 521-6951,,Burnaby,"8695 10th Ave, Burnaby, BC V3N 3Z8, Canada",49.2311437,-122.9057055,True,14,0,20,"['Preschool', 'Under 36 Months']",Academic,1521,2026-04-21,both
a8775ba9-174d-40ac-972e-ec865c9e9652,House of Angels,(778) 881-2693,hello@houseofangels.ca,Burnaby,"7610 Dow Ave, Burnaby, BC V5J 2A4, Canada",49.2145688,-123.0023999,True,46,0,7,['Preschool'],Academic,1597,2026-04-13,both
8378c255-cdfb-41fd-8402-ae02f8240a4e,Growing Minds Child Care Center,(604) 442-4917,,Burnaby,"7456 19th Ave, Burnaby, BC V3N 1E4, Canada",49.2203903,-122.9455493,True,17,0,13,['School Age'],Play-based,1660,2026-07-20,phone_only
