id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
c058a3f2-ffdb-5167-a6bb-19cb2c2e7cce,Kidscool ELC Coquitlam,(604) 767-9726,hello@kidscoolelccoquitlam.ca,COQUITLAM,"1116 Como Lake Ave, Coquitlam, BC V3J 3N8, Canada",49.2632316,-122.8608388,True,33,0,22,"['30 Months to 5 Years', 'Under 36 Months']",Montessori,1199,2026-04-05,both,4.8,33
a10756ec-1696-5b64-9412-908d1e855df9,Little Papillon Childcare,(604) 849-5241,hello@littlepapillonchildcare.ca,COQUITLAM,"1436 Cambridge Dr, Coquitlam, BC V3J 2P7, Canada",49.2574264,-122.8527102,False,42,0,18,"['School Age', 'Under 36 Months', 'Preschool']",Play-based,1707,2026-07-02,phone_only,5.0,1
af30cd28-a56f-5aea-9e42-c6c3ddb729a9,Rainforest Learning Centre Coquitlam,(604) 837-0800,hello@rainforestlearningcentrecoquitlam.ca,COQUITLAM,"511 Rochester Ave, Coquitlam, BC V3K 0A2, Canada",49.2459363,-122.8909856,True,37,0,10,"['Preschool', '30 Months to 5 Years']",Academic,1446,2026-05-27,phone_only,4.1,37
7dca10cc-f6df-58e1-b1ef-d5da1c3f9d2e,First Steps Daycare,(604) 726-6842,hello@firststepsdaycare.ca,COQUITLAM,"675 Blue Mountain St, Coquitlam, BC V3J 4R5, Canada",49.2579264,-122.868555,True,12,3,0,"['Under 36 Months', 'Preschool']",Montessori,1398,,both,4.6,10
07f5264d-b148-52f1-9945-8e41b06fb30c,Kidsville Childcare Coquitlam,(604) 655-7718,,COQUITLAM,"1518 Smith Ave, Coquitlam, BC V3J 2Y3, Canada",49.259512,-122.8510387,False,43,0,20,"['Preschool', 'Under 36 Months', 'School Age']",Montessori,1610,2026-08-18,email_only,5.0,8
2319160c-387d-552f-8b37-0e9b4691ed14,Jiji Children's Learning Centre,(604) 936-6060,,COQUITLAM,"1132 Sprice Ave, Coquitlam, BC V3J 2P4, Canada",49.2568438,-122.860165,False,27,0,16,['Preschool'],Academic,1619,2026-07-14,email_only,3.9,14
47fbd3ec-f91a-5cb0-b55d-1b82724ba267,Mountain View Group Day Care,(604) 937-3020,hello@mountainviewgroupdaycare.ca,COQUITLAM,"740 Smith Ave, Coquitlam, BC V3J 4E7, Canada",49.2591297,-122.8793336,False,49,0,6,"['Under 36 Months', 'School Age', '30 Months to 5 Years']",Play-based,1204,2026-07-25,phone_only,4.3,17
5875c1a2-df56-58bf-89ca-79124a15dcb4,Baby Smart Infant and Toddler Child Care Centre,(604) 306-6698,hello@babysmartinfantandtoddlerchildcarecentre.ca,COQUITLAM,"1530 Como Lake Ave, Coquitlam, BC V3J 3P6, Canada",49.2632367,-122.8500137,False,40,0,10,"['Under 36 Months', '30 Months to 5 Years', 'School Age']",,1729,2026-08-13,email_only,5.0,13
35919019-801c-574f-b886-a353c80cb578,Kiddies Korner Preschool,(604) 941-4919,hello@kiddieskornerpreschool.ca,COQUITLAM,"948 Como Lake Ave, Coquitlam, BC V3J 7P9, Canada",49.263258,-122.8692974,False,29,0,18,['30 Months to 5 Years'],Academic,1175,2026-07-16,both,4.9,44
88697ef6-69b4-5025-b06c-eacfb0253ff3,Educastle Childcare Coquitlam,(604) 942-2273,hello@educastlechildcarecoquitlam.ca,COQUITLAM,"3020 Lincoln Ave #270, Coquitlam, BC V3B 6B4, Canada",49.2786078,-122.7926421,True,21,0,16,"['30 Months to 5 Years', 'Preschool']",,1128,2026-04-05,both,4.9,31
