id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
7f361a0f-10f0-5d7f-801e-fe62c3459fc6,Happyland Early Learning Centre,(778) 995-6997,hello@happylandearlylearningcentre.ca,LANGLEY,"20090 91A Ave, Langley Twp, BC V1M 3Y9, Canada",49.1672515,-122.6659774,False,45,0,20,"['Preschool', 'School Age']",Academic,1567,2026-07-18,both,4.9,60
cba0ff47-bca7-5eee-9a11-a3e17082a285,Little Learners Child Care,(604) 359-1900,hello@littlelearnerschildcare.ca,LANGLEY,"20560 Fraser Hwy #102, Langley, BC V3A 4G2, Canada",49.103639,-122.652862,False,34,1,0,"['School Age', 'Preschool']",Play-based,1766,,email_only,5.0,15
cebfa5f3-0753-5503-90c6-bf472a1742aa,Happyland Early Learning Centre,(778) 995-6997,,LANGLEY,"20165 91A Ave #100, Langley Twp, BC V1M 3A2, Canada",49.16921019999999,-122.6634894,False,44,0,19,"['School Age', '30 Months to 5 Years']",,1627,2026-06-24,email_only,4.8,32
c6d4e4ed-f7bf-5939-bbee-2429f21008e1,Rainforest Learning Centre Langley,(604) 837-0800,hello@rainforestlearningcentrelangley.ca,LANGLEY,"5100 206 St, Langley, BC V3A 2E5, Canada",49.095933,-122.651171,False,35,0,18,"['Under 36 Months', 'School Age', 'Preschool']",Reggio Emilia,1402,2026-06-11,email_only,4.4,32
472afbdc-bec4-577d-8e92-416b88a0e43d,B Kids Daycare Langley,(778) 986-5437,hello@bkidsdaycarelangley.ca,LANGLEY,"20631 Fraser Hwy, Langley, BC V3A 4G5, Canada",49.1036959,-122.6497614,False,18,2,0,"['Preschool', 'School Age']",,1182,,phone_only,4.9,55
afbf6741-064f-5d52-8346-7925829d79d8,Willowbrae Academy Langley,(778) 705-9264,hello@willowbraeacademylangley.ca,LANGLEY,"8063 199 St Unit 100, Langley Twp, BC V2Y 0E2, Canada",49.1498001,-122.6718902,True,36,0,9,"['30 Months to 5 Years', 'Preschool']",Play-based,1770,2026-06-07,phone_only,4.7,112
324ff6aa-72b5-51e2-8a5b-cefe6b6b90df,Secret Heart Academy- Langley,(604) 427-1166,hello@secretheartacademy-langley.ca,LANGLEY,"5769 201A St Unit 110 & 112, Langley, BC V3A 8H9, Canada",49.1079546,-122.6640266,True,34,3,0,['School Age'],Play-based,1457,,email_only,4.7,53
fca6c8ad-c095-591f-810f-bbfd3c93cc35,Great Beginnings Daycare Langley,(778) 986-2292,,LANGLEY,"7013 206 St, Langley, BC V2Y 1S9, Canada",49.1299794,-122.6520062,False,41,0,6,['Preschool'],Reggio Emilia,1561,2026-05-09,phone_only,4.5,30
1b12fc37-524c-53e6-bf29-2243b067f37e,Smiling Buds Daycare,(431) 336-8911,hello@smilingbudsdaycare.ca,LANGLEY,"4992 200 St, Langley, BC V3A 1L8, Canada",49.0931844,-122.6682825,True,45,0,6,"['Under 36 Months', 'Preschool', '30 Months to 5 Years']",Academic,1622,2026-07-19,both,5.0,25
c370b83d-ea07-518c-9833-2a0aaea06c4e,Creative Kids Learning Centers - Langley Meadows,(604) 427-1860,hello@creativekidslearningcenters-langleymeadows.ca,LANGLEY,"19916 64 Ave #101-102, Langley, BC V2Y 1G9, Canada",49.1186564,-122.6713962,False,13,1,0,"['30 Months to 5 Years', 'Preschool']",Reggio Emilia,1118,,email_only,4.7,64
a5662254-5a0c-50c7-9080-686e11a46511,Kids & Company Kids World,(604) 539-0033,hello@kids&companykidsworld.ca,LANGLEY,"6942 202b St, Langley, BC V2Y 1P7, Canada",49.128752,-122.6599845,True,33,3,0,['School Age'],Academic,1686,,email_only,4.1,22
befe1d72-07c2-5bfa-b877-481d8bec07d9,Bee Yourself Childcare,(604) 530-3004,,LANGLEY,"20555 56 Ave, Langley, BC V3A 3Y9, Canada",49.10525029999999,-122.6530127,True,35,0,19,"['Under 36 Months', 'Preschool', 'School Age']",Montessori,1110,2026-08-17,phone_only,4.4,38
cbba2490-2109-5946-9b77-1cf34b4e0484,"Educare Early Learning (Child Care, Daycare, Preschool)",(604) 510-8486,hello@educareearlylearning(childcaredaycarepreschool).ca,LANGLEY,"20279 56 Ave, Langley, BC V3A 3Y6, Canada",49.1046868,-122.6609893,True,33,0,15,"['Preschool', 'School Age', 'Under 36 Months']",Reggio Emilia,1176,2026-04-02,phone_only,4.7,60
a6b6b578-c43e-5e38-8e00-03965986ade2,Jellybean Park Langley Campus,(604) 539-9898,hello@jellybeanparklangleycampus.ca,LANGLEY,"19615 Willowbrook Dr, Langley, BC V2Y 1A5, Canada",49.1150288,-122.6793704,False,15,0,18,"['Preschool', '30 Months to 5 Years', 'Under 36 Months']",Montessori,1115,2026-08-08,both,4.1,44
d51d9fb2-a5f2-5b2c-a9fe-893c3bdf108e,Beyond Element,(604) 404-5089,,LANGLEY,"5673 200 St, Langley, BC V3A 1M7, Canada",49.1058378,-122.669191,True,41,0,12,"['Preschool', '30 Months to 5 Years']",Play-based,1629,2026-06-20,both,5.0,23
1a8bf68f-510f-59f2-abf7-0a105df7dcfe,Tiny Hoppers - Langley City Centre,(778) 689-7799,,LANGLEY,"20570 56 Ave, Langley, BC V3A 5E9, Canada",49.1045607,-122.652596,False,26,0,10,['School Age'],Play-based,1116,2026-05-10,phone_only,4.7,71
0df0a9c9-68d9-57f4-b621-8f0d5c5567af,StrongSteps Children's Learning Centre,(778) 960-2273,hello@strongstepschildren'slearningcentre.ca,LANGLEY,"8912 202 St. #200, Langley Twp, BC V1M 4A7, Canada",49.1648013,-122.6610476,True,38,0,8,"['School Age', 'Preschool']",Academic,1128,2026-06-16,both,4.7,58
f3a2dc1b-1ed9-5421-8ca3-6958771a2588,Blooming Minds Early Learning Centre,(778) 680-5675,hello@bloomingmindsearlylearningcentre.ca,LANGLEY,"20328 86 Ave, Langley Twp, BC V2Y 3L5, Canada",49.1589404,-122.6587627,False,17,0,7,['30 Months to 5 Years'],Montessori,1632,2026-04-08,email_only,5.0,8
