id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
f66c47f0-c607-54a0-beca-cc46928f974b,Kids Academy,(604) 492-5437,,PORT MOODY,"2610 St Johns St, Port Moody, BC V3H 2B6, Canada",49.2769373,-122.8539821,True,19,0,7,['Preschool'],Reggio Emilia,1718,2026-06-10,phone_only,4.5,24
4b7d39e1-da50-592c-95c3-82e306b279c6,New Port Child Care Center,(604) 492-3337,,PORT MOODY,"235 Newport Dr, Port Moody, BC V3H 5C9, Canada",49.2827774,-122.8263821,True,12,0,8,"['Under 36 Months', 'Preschool']",Play-based,1299,2026-08-02,email_only,4.4,42
c3c2f06b-debb-52ac-bcab-02cfdeab46f2,Little Star Daycare [Childcare],(604) 469-3657,hello@littlestardaycare[childcare].ca,PORT MOODY,"409 Ioco Rd, Port Moody, BC V3H 2W2, Canada",49.287883,-122.8362244,False,35,0,20,"['Preschool', 'School Age']",Play-based,1508,2026-03-29,phone_only,4.9,12
c83bc7f7-9634-5d95-8af1-47b621770e8c,Happy Kids World ChildCare,(604) 900-2412,hello@happykidsworldchildcare.ca,PORT MOODY,"2611 St Johns St A, Port Moody, BC V3H 2B5, Canada",49.2765317,-122.8539287,True,25,3,0,"['Under 36 Months', '30 Months to 5 Years', 'School Age']",Academic,1354,,both,4.7,13
d80f1a95-8905-5896-9a9c-3921132576fb,Kiddos Clubhouse Daycare,(604) 492-1179,,PORT MOODY,"2225 Clarke St, Port Moody, BC V3H 1Y6, Canada",49.2775573,-122.8626132,True,16,0,24,"['30 Months to 5 Years', 'Preschool', 'School Age']",Play-based,1498,2026-08-08,email_only,4.8,39
d290ffa6-5bfd-5f89-808c-73d08e04c7d5,Rocky Point Montessori Daycare,(604) 619-5308,hello@rockypointmontessoridaycare.ca,PORT MOODY,"2709 Clarke St, Port Moody, BC V3H 1Z1, Canada",49.2776309,-122.8515686,True,39,0,23,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",Montessori,1184,2026-07-10,both,5.0,14
8593f495-468e-569c-b27b-cc67af62c72d,Busy Crocodile Children's Centre,(604) 349-9041,hello@busycrocodilechildren'scentre.ca,PORT MOODY,"2511 St Johns St, Port Moody, BC V3H 2B3, Canada",49.276444,-122.8554781,True,13,0,13,['School Age'],Reggio Emilia,1446,2026-03-28,both,4.6,11
788d8581-9bb4-58dc-adb8-c297909c2422,BrightPath St Johns Child Care Centre,(604) 492-1415,,PORT MOODY,"2750 St Johns St, Port Moody, BC V3H 2P6, Canada",49.276874,-122.85058,False,49,0,22,"['30 Months to 5 Years', 'School Age']",Academic,1667,2026-04-16,phone_only,4.8,32
6154adbb-d39e-5eb9-a970-7cd113926c94,Butterfly Early Learning Center,(778) 928-3839,hello@butterflyearlylearningcenter.ca,PORT MOODY,"511 San Remo Dr, Port Moody, BC V3H 3S6, Canada",49.28848139999999,-122.8412576,False,46,0,6,"['30 Months to 5 Years', 'School Age']",Reggio Emilia,1350,2026-07-09,both,5.0,19
0be058dd-32a6-5f91-bab5-785ca167e8b6,Annar Childcare,(778) 822-7120,hello@annarchildcare.ca,PORT MOODY,"3013 Spring St, Port Moody, BC V3H 4B6, Canada",49.2770571,-122.8441619,False,35,0,21,"['School Age', '30 Months to 5 Years']",Academic,1498,2026-04-05,both,5.0,5
