id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method
67965251-ee15-4e3b-880d-9045dcedf4c0,Rocky Point Montessori Daycare,(604) 619-5308,hello@rockypointmontessoridaycare.ca,Port Moody,"2709 Clarke St, Port Moody, BC V3H 1Z1, Canada",49.2776309,-122.8515686,True,33,0,23,"['30 Months to 5 Years', 'Under 36 Months']",Play-based,1397,2026-07-29,both
87c0d7a9-1c0e-46ba-832d-e301ba30c579,Kiddos Clubhouse Daycare,(604) 492-1179,hello@kiddosclubhousedaycare.ca,Port Moody,"2225 Clarke St, Port Moody, BC V3H 1Y6, Canada",49.2775573,-122.8626132,False,12,0,7,"['Preschool', '30 Months to 5 Years']",Montessori,1279,2026-04-17,both
77c0c126-4eba-4cdf-bfc3-22f0a8847835,New Port Child Care Center,(604) 492-3337,,Port Moody,"235 Newport Dr, Port Moody, BC V3H 5C9, Canada",49.2827774,-122.8263821,False,25,0,22,"['Under 36 Months', 'Preschool']",Reggio Emilia,1335,2026-05-11,phone_only
e1ba6e9e-ed78-4f9f-be32-aeaaa3bb218b,Happy Kids World ChildCare,(604) 900-2412,hello@happykidsworldchildcare.ca,Port Moody,"2611 St Johns St A, Port Moody, BC V3H 2B5, Canada",49.2765317,-122.8539287,False,26,0,16,['30 Months to 5 Years'],Academic,1172,2026-08-17,phone_only
6c884a41-d13c-4d94-84e1-5d88a0ac48f6,Little Star Daycare [Childcare],(604) 469-3657,hello@littlestardaycare[childcare].ca,Port Moody,"409 Ioco Rd, Port Moody, BC V3H 2W2, Canada",49.287883,-122.8362244,True,43,0,7,"['Under 36 Months', 'School Age', '30 Months to 5 Years']",Montessori,1316,2026-08-04,email_only
7d0ee369-4a20-4701-a3b4-939aad7acf54,Annar Childcare,(778) 822-7120,hello@annarchildcare.ca,Port Moody,"3013 Spring St, Port Moody, BC V3H 4B6, Canada",49.2770571,-122.8441619,False,42,0,20,"['Preschool', 'Under 36 Months', 'School Age']",Montessori,1707,2026-03-28,email_only
4c24037a-8976-4761-bc04-23cfa02891d8,Kids Academy,(604) 492-5437,,Port Moody,"2610 St Johns St, Port Moody, BC V3H 2B6, Canada",49.2769373,-122.8539821,False,39,0,12,"['30 Months to 5 Years', 'Under 36 Months']",Montessori,1524,2026-07-21,both
49d80276-5c11-45ac-b433-87f93d95d54b,BrightPath St Johns Child Care Centre,(604) 492-1415,hello@brightpathstjohnschildcarecentre.ca,Port Moody,"2750 St Johns St, Port Moody, BC V3H 2P6, Canada",49.276874,-122.85058,False,34,0,15,['School Age'],Montessori,1789,2026-08-24,email_only
7d4f7309-1577-4f27-9a67-ecb03fc1a989,Butterfly Early Learning Center,(778) 928-3839,,Port Moody,"511 San Remo Dr, Port Moody, BC V3H 3S6, Canada",49.28848139999999,-122.8412576,True,35,0,7,['Preschool'],,1793,2026-08-02,phone_only
0b0e0372-5d4c-4cc9-a1f7-2a3b429e6966,Childgarden Preschool,(604) 637-9705,hello@childgardenpreschool.ca,Port Moody,"2626 Spring St B, Port Moody, BC V3H 1Z4, Canada",49.2774003,-122.8527636,False,16,0,9,"['School Age', 'Preschool', 'Under 36 Months']",Montessori,1627,2026-07-28,both
27570048-aa32-41b6-be14-4118b5c211d2,A Wave of Stars Childcare,(604) 715-7548,hello@awaveofstarschildcare.ca,Port Moody,"1821 Barnet Hwy, Port Moody, BC V3H 1V9, Canada",49.2797356,-122.8673561,True,27,0,14,"['Preschool', 'School Age', '30 Months to 5 Years']",Reggio Emilia,1671,2026-06-25,phone_only
2c27e964-7d36-4591-b947-7fb8f414b2b6,Busy Crocodile Children's Centre,(604) 349-9041,hello@busycrocodilechildren'scentre.ca,Port Moody,"2511 St Johns St, Port Moody, BC V3H 2B3, Canada",49.276444,-122.8554781,True,50,0,16,"['School Age', '30 Months to 5 Years', 'Preschool']",Montessori,1209,2026-05-06,email_only
a633dc83-8c4a-4059-8656-50b29048b7bb,Kids & Company Port Moody,(604) 492-1075,,Port Moody,"220 Brew St Unit 200, Port Moody, BC V3H 0H6, Canada",49.27904359999999,-122.8276771,False,15,0,17,"['Under 36 Months', '30 Months to 5 Years']",Reggio Emilia,1196,2026-04-16,both
040f29f5-9c8d-4a14-8fc3-c7152f294031,Heritage Mountain Daycare,(604) 619-5308,hello@heritagemountaindaycare.ca,Port Moody,"145 Ravine Dr, Port Moody, BC V3H 4W3, Canada",49.2949531,-122.8359801,True,34,0,6,"['30 Months to 5 Years', 'School Age']",Reggio Emilia,1741,2026-06-07,both
93362af5-b852-4163-8577-5beff3c50170,Kinder joy Licensed Daycare,(778) 355-0480,hello@kinderjoylicenseddaycare.ca,Port Moody,"406 Glencoe Dr, Port Moody, BC V3H 1E9, Canada",49.27479350000001,-122.8815096,False,20,0,8,['30 Months to 5 Years'],Reggio Emilia,1645,2026-07-22,phone_only
980df075-cb4c-4d34-9242-23049aa5d9d1,Bay Breeze Buddies,(778) 864-2684,hello@baybreezebuddies.ca,Port Moody,"204 Moray St, Port Moody, BC V3H 2S5, Canada",49.2742899,-122.8345488,True,33,0,16,"['School Age', 'Preschool']",Reggio Emilia,1560,2026-06-24,both
0da0bc55-e1ca-45b9-b2d1-ce662cb53fbc,Butterfly Learning Centre,(604) 862-4474,hello@butterflylearningcentre.ca,Port Moody,"1790 Ioco Rd, Port Moody, BC V3H 3C8, Canada",49.3023823,-122.8731886,True,41,0,15,"['School Age', '30 Months to 5 Years']",Montessori,1407,2026-03-29,phone_only
0e75b910-d126-4f8f-a7c5-4880d0905230,Block 8 Academy,(778) 893-9706,hello@block8academy.ca,Port Moody,"110 Moody St, Port Moody, BC V3H 2B2, Canada",49.2764164,-122.8499084,True,29,0,6,"['30 Months to 5 Years', 'Under 36 Months', 'Preschool']",Play-based,1784,2026-06-29,both
edb15a05-ca07-4793-81d6-8ef7a5cdd27c,Sunlight Daycare,(604) 461-0375,hello@sunlightdaycare.ca,Port Moody,"63 Ravine Dr, Port Moody, BC V3H 4N2, Canada",49.29266459999999,-122.8281131,True,33,3,0,['School Age'],Academic,1150,,both
e784230d-fbd1-46f6-9bff-61d6026d73c4,Our hamlet childcare,(604) 765-4022,hello@ourhamletchildcare.ca,Port Moody,"1215 Cecile Dr, Port Moody, BC V3H 1S4, Canada",49.2802111,-122.876587,True,37,0,9,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",Academic,1165,2026-04-25,email_only
19cadf5d-702f-4054-9ae4-5f0bf94b08d9,Happy Circle Childcare Centre,(778) 384-2060,,Port Moody,"206 Ravine Dr, Port Moody, BC V3H 4W7, Canada",49.29596919999999,-122.8399541,False,36,2,0,"['Preschool', '30 Months to 5 Years', 'Under 36 Months']",,1530,,phone_only
572b023d-131a-4bb7-80af-e103792a6740,Port Moody Kidz Venture Club,(236) 553-2241,hello@portmoodykidzventureclub.ca,Port Moody,"2809 Spring St, Port Moody, BC V3H 2C1, Canada",49.2770829,-122.8493213,False,28,0,18,"['Under 36 Months', 'Preschool', '30 Months to 5 Years']",Academic,1261,2026-06-09,phone_only
c2900753-e148-49d1-85fc-3868e09d3421,Parkside Childcare Centre,(778) 899-1797,,Port Moody,"210 Parkside Dr, Port Moody, BC V3H 4Z6, Canada",49.2962235,-122.8441048,True,27,0,9,['School Age'],Reggio Emilia,1300,2026-08-20,email_only
0d08f810-4601-4882-b07c-1236b2c9a07a,Kidsville Childcare Coquitlam,(604) 655-7718,hello@kidsvillechildcarecoquitlam.ca,Port Moody,"1518 Smith Ave, Coquitlam, BC V3J 2Y3, Canada",49.259512,-122.8510387,True,14,0,10,"['30 Months to 5 Years', 'School Age', 'Preschool']",Academic,1734,2026-08-22,email_only
78edf95e-6ff5-421c-8925-16627d40d3a2,Kidscool ELC Coquitlam,(604) 767-9726,,Port Moody,"1116 Como Lake Ave, Coquitlam, BC V3J 3N8, Canada",49.2632316,-122.8608388,False,37,0,17,"['Under 36 Months', 'Preschool', '30 Months to 5 Years']",Montessori,1773,2026-06-28,email_only
aae0d13d-5fb2-41b1-afae-ee744dbbce06,Aria Montessori Learning Center,(778) 989-7264,hello@ariamontessorilearningcenter.ca,Port Moody,"44 Timbercrest Dr, Port Moody, BC V3H 4T7, Canada",49.2959161,-122.8284326,True,37,0,19,"['Preschool', '30 Months to 5 Years']",Montessori,1448,2026-05-14,phone_only
d03c0c28-a27f-49bc-8492-120d1f432ca0,Sandy Child Care Centre,(778) 320-8281,,Port Moody,"1 Deerwood Pl, Port Moody, BC V3H 4N2, Canada",49.29324399999999,-122.8273289,False,24,0,10,"['School Age', '30 Months to 5 Years', 'Preschool']",Academic,1123,2026-07-22,both
8184aa02-4537-4100-b2b4-90fe17bac2bc,Acornpomo,(778) 980-1112,,Port Moody,"2901 St Johns St, Port Moody, BC V3H 2C2, Canada",49.2763808,-122.8474832,True,42,0,21,"['30 Months to 5 Years', 'Preschool']",Play-based,1233,2026-06-21,both
dfafbee1-3c5a-495b-a002-9c0c85bfdb6e,All my kids Ltd childcare,(778) 835-6104,hello@allmykidsltdchildcare.ca,Port Moody,"1710 Harbour Dr, Coquitlam, BC V3J 5W2, Canada",49.2661702,-122.8459884,True,21,0,22,"['School Age', '30 Months to 5 Years']",Academic,1291,2026-06-13,phone_only
a90eed09-bdb3-4b33-be29-ea8ae5623bd3,Children's Choice In Home Multi Age Licensed Daycare,(778) 237-5312,hello@children'schoiceinhomemultiagelicenseddaycare.ca,Port Moody,"578 Thompson Ave, Coquitlam, BC V3J 3Z8, Canada",49.2679672,-122.8894052,True,33,0,9,"['30 Months to 5 Years', 'Preschool', 'Under 36 Months']",Montessori,1131,2026-05-04,phone_only
