id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
ff5bcc3d-fb64-58c4-9ae1-41bb142f8e65,Redwood Academy,(604) 370-6699,hello@redwoodacademy.ca,RICHMOND,"11060 Horseshoe Wy #120, Richmond, BC V7A 4V5, Canada",49.130831,-123.094249,True,45,0,8,"['School Age', 'Preschool', 'Under 36 Months']",,1798,2026-05-27,email_only,5.0,27
ad24b2c2-c911-5c72-baf7-7d802aa1db08,Richmond Star Education,(604) 726-9000,hello@richmondstareducation.ca,RICHMOND,"8851 Heather St, Richmond, BC V7A 1X9, Canada",49.1494667,-123.1230157,True,45,0,13,"['Preschool', '30 Months to 5 Years']",Academic,1789,2026-06-19,phone_only,4.8,91
1cae021e-ef06-5196-9690-d90d51a7340e,Royal Academy,(778) 855-5000,hello@royalacademy.ca,RICHMOND,"3600 Viking Wy, Richmond, BC V6V 1N6, Canada",49.187031,-123.072163,True,29,0,22,"['Under 36 Months', 'School Age', 'Preschool']",Academic,1444,2026-05-05,email_only,4.7,79
e7e30ac3-0d0f-52ed-b83f-319dfb9a204b,Creative Daycare,(604) 278-1675,hello@creativedaycare.ca,RICHMOND,"7271 Francis Rd, Richmond, BC V6Y 1A1, Canada",49.1485354,-123.1440971,False,17,0,18,"['Under 36 Months', '30 Months to 5 Years', 'Preschool']",,1115,2026-05-27,both,4.5,40
66b6bf19-5f0f-5c2b-b6e7-2f6bc6fee782,Tiny Hoppers Early Learning Centre - Richmond East,(604) 214-8622,hello@tinyhoppersearlylearningcentre-richmondeast.ca,RICHMOND,"13351 Commerce Pkwy Unit 1168, Richmond, BC V6V 2X7, Canada",49.1726766,-123.0733832,True,49,0,23,"['Under 36 Months', 'School Age', '30 Months to 5 Years']",Play-based,1333,2026-05-17,both,5.0,81
a399f4fa-5f09-5950-9658-bc25a4973220,Kids r Us Childcare,(604) 767-0439,,RICHMOND,"11600 Aztec St, Richmond, BC V6X 1H8, Canada",49.1812726,-123.0960525,False,45,0,10,"['Preschool', 'School Age']",Reggio Emilia,1559,2026-06-09,email_only,4.8,40
4adabdb3-f2c0-5aae-a3c2-f2a02ca07099,Terra Early Learning,(604) 285-6558,hello@terraearlylearning.ca,RICHMOND,"13799 Commerce Pkwy Unit #120, Richmond, BC V6V 2N9, Canada",49.1769429,-123.0697788,True,31,2,0,['Preschool'],Montessori,1500,,phone_only,4.9,26
bb90ec19-7c2d-5414-b635-028c77248327,Hope Infant/Toddler Group Daycare,(604) 839-8017,,RICHMOND,"9520 McBurney Dr, Richmond, BC V6Y 3C6, Canada",49.1532919,-123.1177527,True,32,0,10,"['Preschool', 'School Age']",Montessori,1699,2026-06-09,email_only,4.8,77
5feb4958-69f7-56d8-83d6-582cdfa67481,Treehouse early Learning Centre,(604) 277-8224,hello@treehouseearlylearningcentre.ca,RICHMOND,"5500 Andrews Rd Unit 100, Richmond, BC V7E 6M9, Canada",49.120921,-123.163672,True,28,0,17,['30 Months to 5 Years'],Reggio Emilia,1127,2026-04-24,email_only,5.0,2
57201647-8080-58c9-aca5-ae02b4b8ddb1,Kids & Company Richmond,(604) 244-0009,hello@kids&companyrichmond.ca,RICHMOND,"3851 Shell Rd #200, Richmond, BC V6X 2W2, Canada",49.185819,-123.103315,False,34,0,9,"['Under 36 Months', '30 Months to 5 Years']",Academic,1673,2026-06-24,phone_only,4.4,25
06e2feff-8c03-55c4-b75c-760840adbcef,Creative Childcare Centre,(604) 512-1318,hello@creativechildcarecentre.ca,RICHMOND,"1891 Wellington Crescent, Richmond, BC V7B 1G8, Canada",49.1911948,-123.1498965,True,47,0,12,"['Under 36 Months', 'Preschool', 'School Age']",Academic,1137,2026-04-17,email_only,5.0,21
a02c55ab-e615-55b9-aee5-e5d785938adb,Gardens Children's Centre (S.R.C.C),(604) 271-7252,hello@gardenschildren'scentre(s.r.c.c).ca,RICHMOND,"10640 No 5 Rd, Richmond, BC V6W 0B5, Canada",49.135003,-123.0916269,False,20,0,23,"['Under 36 Months', 'Preschool']",Play-based,1682,2026-05-15,both,5.0,4
0ba043ca-83ca-5cc2-a78b-d8e1a0fb3e44,Nido de Montessori,(604) 256-6522,,RICHMOND,"4653 Garden City Rd Unit 2125, Richmond, BC V6X 4B8, Canada",49.1790031,-123.1256424,True,50,0,11,['School Age'],Academic,1161,2026-05-05,phone_only,4.6,52
b2a44279-eb7d-5737-a722-4b6da338d961,Tiny Hoppers - Alderbridge,(604) 279-1199,,RICHMOND,"7951 Alderbridge Wy #160, Richmond, BC V6X 2A4, Canada",49.1783262,-123.1380528,False,39,0,13,"['School Age', 'Preschool']",,1449,2026-04-15,both,4.5,36
