id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
30b03647-68b5-5c6b-b04a-af5b0d78785c,Junior Einsteins Academy - Preschool and Daycare in Surrey BC,(604) 719-1171,,SURREY,"10787 128 St, Surrey, BC V3T 2L1, Canada",49.1987387,-122.8681601,True,17,0,18,"['30 Months to 5 Years', 'Under 36 Months', 'Preschool']",Montessori,1181,2026-07-18,both,4.8,55
3086c28a-6bc7-51a5-bb49-670b539cdd78,Treehouse Kids Care,(604) 704-6484,hello@treehousekidscare.ca,SURREY,"8555 151a St, Surrey, BC V3S 3K1, Canada",49.1585604,-122.8031112,False,44,0,24,"['30 Months to 5 Years', 'Preschool']",,1330,2026-07-22,email_only,4.9,35
414fe86f-8656-51b4-a263-1de3d85b7a51,Bonnycastle Montessori Daycare Inc,(604) 670-7234,hello@bonnycastlemontessoridaycareinc.ca,SURREY,"14630 107A Ave, Surrey, BC V3R 1V1, Canada",49.1975953,-122.8168982,False,41,2,0,"['Under 36 Months', '30 Months to 5 Years', 'Preschool']",Play-based,1453,,both,4.9,106
f6a26b39-176a-5383-a561-6b80b591fa75,Honey Tree The Children's Learning Centre,(604) 599-0832,hello@honeytreethechildren'slearningcentre.ca,SURREY,"8469 148A St, Surrey, BC V3S 7K6, Canada",49.15694509999999,-122.8113568,False,26,0,18,"['School Age', '30 Months to 5 Years']",Reggio Emilia,1685,2026-07-23,phone_only,4.3,62
354e9888-032c-573f-85da-e1430a453d3e,All is Well Childcare,(604) 719-6736,,SURREY,"9927 132 St, Surrey, BC V3T 3S9, Canada",49.1831377,-122.8568429,True,33,0,19,"['Under 36 Months', 'Preschool']",Reggio Emilia,1718,2026-08-09,phone_only,4.8,33
1a64bbb6-8a34-55f1-80aa-c4b496619622,Raja montessori Academy ltd,(780) 938-6758,hello@rajamontessoriacademyltd.ca,SURREY,"10928 132 St #107, Surrey, BC V3T 0R3, Canada",49.20144879999999,-122.8561486,True,46,0,16,"['School Age', 'Preschool', 'Under 36 Months']",Academic,1196,2026-06-02,email_only,5.0,62
b076feeb-0846-5b93-96f0-16346efe4a54,Level up Childcare Learning Centre,(778) 233-4903,hello@levelupchildcarelearningcentre.ca,SURREY,"13859 Hansen Rd, Surrey, BC V3R 5M4, Canada",49.2056101,-122.8377988,True,19,0,16,['School Age'],,1311,2026-04-08,both,5.0,12
4e7e2ec5-3414-5677-9f3d-df07c6c52577,Goodwin Academy Daycare Centre,(604) 588-2074,hello@goodwinacademydaycarecentre.ca,SURREY,"10468 Whalley Blvd #3, Surrey, BC V3T 4H5, Canada",49.1929999,-122.8420292,False,22,0,7,['Under 36 Months'],Reggio Emilia,1426,2026-06-28,phone_only,4.6,43
9ced4f55-91e7-5542-94d2-a1d55dab5c75,Surrey City Childcare | Trusted Licensed Daycare in Surrey,(778) 378-5437,hello@surreycitychildcare|trustedlicenseddaycareinsurrey.ca,SURREY,"12250 100 Ave, Surrey, BC V3V 2X1, Canada",49.1840686,-122.8825517,False,34,0,21,"['Preschool', 'Under 36 Months', 'School Age']",Reggio Emilia,1596,2026-08-01,email_only,4.7,20
7e660e2a-df4a-5cae-94f8-b733ae4093d9,Green Timbers Child Care,(604) 307-4572,,SURREY,"14731 90 Ave, Surrey, BC V3R 1A6, Canada",49.1668055,-122.8142719,False,37,0,16,"['Under 36 Months', 'School Age', 'Preschool']",Montessori,1301,2026-08-17,phone_only,5.0,12
afa1069a-d491-53a6-b575-a4fc36be2945,Smart Kids Learning Centre,(236) 862-7401,hello@smartkidslearningcentre.ca,SURREY,"13632 108 Ave, Surrey, BC V3T 2J1, Canada",49.1986676,-122.8439076,True,42,0,8,"['School Age', 'Preschool', '30 Months to 5 Years']",Academic,1444,2026-08-11,both,5.0,15
55577800-5bf0-5e58-a9e4-791e21be0af0,Guildford Gardens Daycare,(604) 339-7052,hello@guildfordgardensdaycare.ca,SURREY,"14921 107A Ave, Surrey, BC V3R 1V3, Canada",49.1983752,-122.8087693,True,40,0,7,"['30 Months to 5 Years', 'Under 36 Months']",,1701,2026-05-21,both,4.8,37
69ddc9cd-f2dc-5aa3-a804-e626739aac5c,Taylin Child Care North Surrey,(604) 807-8902,hello@taylinchildcarenorthsurrey.ca,SURREY,"13388 104 Ave, Surrey, BC V3T 1V6, Canada",49.1914768,-122.851366,True,41,0,8,"['School Age', 'Preschool', 'Under 36 Months']",Montessori,1519,2026-05-31,email_only,5.0,19
9b7f1447-8fa3-500c-af49-5c56ed5e322e,Little Footprints Academy | Guildford,(778) 926-9900,,SURREY,"15326 103A Ave, Surrey, BC V3R 7A2, Canada",49.189925,-122.7973707,False,50,0,18,"['Under 36 Months', 'School Age']",Academic,1109,2026-06-16,phone_only,4.7,123
4f4f5efc-a694-57e3-ab3b-9dfe8a4d28ee,The Children's Centre At Gateway,(604) 581-5853,,SURREY,"10840 133a St, Surrey, BC V3T 4A6, Canada",49.1997194,-122.8525274,True,15,0,24,"['Under 36 Months', '30 Months to 5 Years', 'School Age']",Academic,1361,2026-06-04,phone_only,4.2,32
7d94621e-590e-54a8-84c9-ad131a9e6122,Bright Beginnings Childcare Center,(778) 385-6241,hello@brightbeginningschildcarecenter.ca,SURREY,"9368 132a St, Surrey, BC V3V 6N3, Canada",49.17298719999999,-122.855402,False,38,0,12,"['Preschool', 'School Age']",Reggio Emilia,1564,2026-06-26,email_only,4.6,28
e0b4286f-27ba-52b5-a36b-c505191aa2fd,Sandbox Early Learning (Cedar Hills),(778) 868-4073,hello@sandboxearlylearning(cedarhills).ca,SURREY,"9648 128 St, Surrey, BC V3T 2X9, Canada",49.1781235,-122.8676491,False,19,0,12,"['Under 36 Months', '30 Months to 5 Years', 'Preschool']",Montessori,1572,2026-04-13,both,5.0,48
60ef5188-f44c-536d-be20-a55db2b4862b,Beacon House Childcare,(604) 441-3900,,SURREY,"8181 168a St, Surrey, BC V4N 5K6, Canada",49.1513305,-122.7556595,True,45,0,7,['30 Months to 5 Years'],Play-based,1307,2026-04-04,phone_only,5.0,42
